"aha_id","year","Core","ClinInteropFx","DataUse","breadth_of_exchange","Friction","Barriers","Methods","InfoBlocking","largebed","medbed","smallbed","cah","cbsatype","piemr","mhsmemb","weight"
"6150130",2025,85.4166666666667,1,1,0.5625,30,0.4,0.5,0,0,1,0,0,"Metro","Epic",1,1.6281549
"6150150",2025,85.4166666666667,1,1,0.5625,30,0.4,0.5,0,1,0,0,0,"Metro","Epic",1,1.4890608
"6150205",2025,18.75,0.25,0.25,0.0625,24.0740740740741,0.722222222222222,0,0,0,1,0,0,"Metro","Epic",1,1.6728343
"6160001",2025,100,1,1,1,60.0529100529101,0.388888888888889,0.746031746031746,0.666666666666667,0,1,0,0,"Metro","Epic",1,1.7829912
"6160003",2025,100,1,1,1,60.0529100529101,0.388888888888889,0.746031746031746,0.666666666666667,1,0,0,0,"Metro","Epic",1,1.4890608
"6160009",2025,83.3333333333333,1,1,0.5,26.8783068783069,0.377777777777778,0.428571428571429,0,0,1,0,0,"Metro","Epic",NA,2.2114289
"6160010",2025,100,1,1,1,60.0529100529101,0.388888888888889,0.746031746031746,0.666666666666667,0,1,0,0,"Metro","Epic",1,1.6728343
"6160013",2025,100,1,1,1,60.0529100529101,0.388888888888889,0.746031746031746,0.666666666666667,0,1,0,0,"Metro","Epic",1,1.6728343
"6160070",2025,60.4166666666667,0.75,0.75,0.3125,30.4761904761905,0.533333333333333,0.380952380952381,0,0,1,0,0,"Metro","Meditech",NA,2.2114289
"6160100",2025,66.6666666666667,1,0.5,0.5,64.3386243386243,0.7,0.563492063492063,0.666666666666667,0,1,0,0,"Metro","Cerner",1,1.6728343
"6160340",2025,91.6666666666667,1,1,0.75,20.5291005291005,0.266666666666667,0.349206349206349,0,0,1,0,0,"Metro","Epic",NA,2.2114289
"6160450",2025,93.75,1,1,0.8125,51.8518518518518,0.611111111111111,0.611111111111111,0.333333333333333,0,1,0,0,"Metro","Epic",NA,2.2114289
"6160530",2025,66.6666666666667,1,0.5,0.5,64.3386243386243,0.7,0.563492063492063,0.666666666666667,0,1,0,0,"Metro","Cerner",1,1.6728343
"6160560",2025,100,1,1,1,60.0529100529101,0.388888888888889,0.746031746031746,0.666666666666667,0,1,0,0,"Metro","Epic",1,1.6728343
"6160610",2025,66.6666666666667,1,0.5,0.5,64.3386243386243,0.7,0.563492063492063,0.666666666666667,0,0,1,0,"Micro","Cerner",1,1.8494166
"6160710",2025,100,1,1,1,60.0529100529101,0.388888888888889,0.746031746031746,0.666666666666667,0,1,0,0,"Micro","Epic",1,1.6558578
"6160810",2025,100,1,1,1,60.0529100529101,0.388888888888889,0.746031746031746,0.666666666666667,0,0,1,0,"Metro","Epic",1,1.8714032
"6210001",2025,54.1666666666667,0.875,0.5,0.25,18.4656084656085,0.411111111111111,0.142857142857143,0,0,1,0,0,"Micro","Epic",1,1.6123059
"6210007",2025,58.3333333333333,0.625,0.5,0.625,53.7037037037037,0.833333333333333,0.111111111111111,0.666666666666667,0,0,1,0,"Rural","Meditech",1,1.9884837
"6210024",2025,83.3333333333333,1,1,0.5,57.4603174603175,0.644444444444444,0.746031746031746,0.333333333333333,1,0,0,0,"Metro","Epic",1,1.4890608
"6210025",2025,54.1666666666667,0.875,0.25,0.5,13.2804232804233,0.2,0.198412698412698,0,0,1,0,0,"Metro","Meditech",NA,1.8834013
"6210030",2025,41.6666666666667,0.5,0.75,0,23.3333333333333,0.533333333333333,0.166666666666667,0,1,0,0,0,"Metro","Epic",NA,2.2075148
"6210033",2025,79.1666666666667,1,0.75,0.625,48.4656084656085,0.7,0.753968253968254,0,0,1,0,0,"Micro","Epic",1,1.4782664
"6210034",2025,83.3333333333333,1,1,0.5,36.5079365079365,0.444444444444444,0.650793650793651,0,1,0,0,0,"Metro","Epic",NA,2.2934027
"6210037",2025,95.8333333333333,0.875,1,1,39.3121693121693,0.322222222222222,0.857142857142857,0,0,1,0,0,"Metro","Epic",1,1.490646
"6210039",2025,75,1,0.75,0.5,32.5925925925926,0.588888888888889,0.388888888888889,0,0,1,0,0,"Metro","Meditech",NA,2.2114289
"6210170",2025,68.75,0.75,0.75,0.5625,32.4338624338624,0.488888888888889,0.150793650793651,0.333333333333333,0,1,0,0,"Micro","Meditech",NA,2.3741946
"6210280",2025,83.3333333333333,1,0.5,1,21.957671957672,0.166666666666667,0.492063492063492,0,0,1,0,0,"Metro","Altera Digital Health",1,1.490646
"6210335",2025,97.9166666666667,1,1,0.9375,29.9470899470899,0.2,0.698412698412698,0,0,1,0,0,"Metro","Epic",1,1.6728343
"6210545",2025,89.5833333333333,1,1,0.6875,52.8042328042328,0.766666666666667,0.150793650793651,0.666666666666667,0,1,0,0,"Metro","Altera Digital Health",NA,1.8834013
"6210570",2025,91.6666666666667,1,0.75,1,35.3968253968254,0.466666666666667,0.595238095238095,0,0,1,0,0,"Metro","Epic",1,1.4791714
"6210690",2025,91.6666666666667,1,0.75,1,35.3968253968254,0.466666666666667,0.595238095238095,0,1,0,0,0,"Metro","Epic",1,1.5115956
"6210740",2025,54.1666666666667,1,0.5,0.125,31.1640211640212,0.633333333333333,0.301587301587302,0,0,1,0,0,"Metro","Other",NA,2.2114289
"6210965",2025,91.6666666666667,1,0.75,1,35.3968253968254,0.466666666666667,0.595238095238095,0,0,1,0,0,"Metro","Epic",1,1.657099
"6210970",2025,43.75,0.75,0,0.5625,42.1164021164021,0.866666666666667,0.396825396825397,0,0,1,0,0,"Metro","Altera Digital Health",NA,2.2114289
"6211070",2025,77.0833333333333,1,1,0.3125,25.3439153439153,0.411111111111111,0.349206349206349,0,1,0,0,0,"Metro","Meditech",NA,2.2631543
"6211120",2025,54.1666666666667,0.75,0.75,0.125,10.952380952381,0.177777777777778,0.150793650793651,0,0,1,0,0,"Metro","Altera Digital Health",NA,2.1830976
"6211185",2025,79.1666666666667,1,0.75,0.625,48.4656084656085,0.7,0.753968253968254,0,0,0,1,0,"Micro","Epic",1,1.9884837
"6211200",2025,66.6666666666667,1,0.5,0.5,64.3386243386243,0.7,0.563492063492063,0.666666666666667,0,0,1,0,"Metro","Cerner",1,1.8714032
"6211225",2025,41.6666666666667,0.5,0.75,0,23.3333333333333,0.533333333333333,0.166666666666667,0,0,1,0,0,"Micro","Epic",NA,2.1808629
"6211290",2025,79.1666666666667,1,0.75,0.625,48.4656084656085,0.7,0.753968253968254,0,0,1,0,0,"Metro","Epic",1,1.6728343
"6211295",2025,54.1666666666667,0.875,0.5,0.25,18.4656084656085,0.411111111111111,0.142857142857143,0,0,0,1,1,"Metro","Epic",1,2.01407
"6211450",2025,54.1666666666667,0.875,0.5,0.25,18.4656084656085,0.411111111111111,0.142857142857143,0,0,0,1,1,"Rural","Epic",1,1.9884837
"6211490",2025,91.6666666666667,1,0.75,1,42.8571428571429,0.444444444444444,0.841269841269841,0,0,0,1,1,"Rural","Epic",1,1.9884837
"6211500",2025,54.1666666666667,0.625,0.75,0.25,28.6243386243386,0.755555555555556,0.103174603174603,0,0,0,1,1,"Metro","Athenahealth",NA,2.825819
