"aha_id","year","Find","Send","Receive","Integrate","ClinInteropFx","Available","Used","DataUse","HospitalSend","HospitalReceive","AmbSend","AmbReceive","LTPACSend","LTPACReceive","BHSend","BHReceive","breadth_of_exchange","Barrier_Send","Barrier_Receive","Barrier_Other","Barriers","MFind","MSend","MReceive","Methods","IB_Extent_EHR","IB_Extent_HIE","IB_Extent_Prov","InfoBlocking","Core","Friction","largebed","medbed","smallbed","cah","cbsatype","piemr","mhsmemb","weight"
"6130255",2025,1,0.5,0.5,0.5,0.625,0.5,0,0.25,1,0,0,0,0,0,0,0,0.125,1,0.5,0.8,0.766666666666667,0.333333333333333,0,0,0.111111111111111,1,0,0,0.333333333333333,33.3333333333333,40.3703703703704,0,0,1,1,"Micro","Cerner",NA,2.7797508
"6130290",2025,1,0.5,0.5,1,0.75,0.5,0.5,0.5,1,0.5,1,0,1,0,1,0,0.5625,0.666666666666667,0.666666666666667,0.5,0.611111111111111,0.833333333333333,0.285714285714286,0,0.373015873015873,0,0,0,0,60.4166666666667,32.8042328042328,0,0,1,1,"Micro","Cerner",1,1.8494166
"6140011",2025,1,1,1,0.5,0.875,1,1,1,1,0.5,1,0.5,1,0.5,1,0.5,0.75,0.166666666666667,0.5,0,0.222222222222222,1,0.428571428571429,0.714285714285714,0.714285714285714,0,0,0,0,87.5,31.2169312169312,0,1,0,0,"Metro","Epic",1,1.6728343
"6140012",2025,1,1,1,1,1,1,1,1,1,1,1,1,0.5,0,0.5,1,0.75,0.666666666666667,0.666666666666667,0.7,0.677777777777778,0.666666666666667,0.714285714285714,0.714285714285714,0.698412698412698,1,0,1,0.666666666666667,91.6666666666667,68.0952380952381,0,1,0,0,"Metro","Epic",NA,2.1045341
"6140013",2025,1,1,1,1,1,0,1,0.5,1,1,1,0.5,1,0.5,1,0.5,0.8125,0,0,0,0,0.166666666666667,0.428571428571429,0.428571428571429,0.341269841269841,0,0,0,0,77.0833333333333,11.3756613756614,1,0,0,0,"Metro","Epic",1,1.4890608
"6140016",2025,1,1,1,1,1,1,1,1,1,1,1,1,0.5,0.5,0.5,0.5,0.75,0.833333333333333,0.833333333333333,0.6,0.755555555555556,0.5,0.857142857142857,0.714285714285714,0.690476190476191,0,0,1,0.333333333333333,91.6666666666667,59.3121693121693,1,0,0,0,"Metro","Epic",NA,1.9431787
"6140065",2025,0.5,1,0.5,0,0.5,0.5,0,0.25,0.5,0,1,0,0,0,0,0,0.1875,0.5,0.833333333333333,0.4,0.577777777777778,0,0.714285714285714,0.142857142857143,0.285714285714286,0,0,0,0,31.25,28.7830687830688,0,0,1,1,"Metro","Meditech",1,2.01407
"6140080",2025,1,1,1,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0.4375,0.333333333333333,0.5,0.5,0.444444444444444,0.333333333333333,0.428571428571429,0.142857142857143,0.301587301587302,0,0,0,0,64.5833333333333,24.8677248677249,0,1,0,0,"Metro","Cerner",NA,2.2114289
"6140215",2025,1,1,1,1,1,1,1,1,1,1,1,0.5,1,0.5,1,0.5,0.8125,0.333333333333333,0.5,0.5,0.444444444444444,1,0.714285714285714,0.428571428571429,0.714285714285714,0,0,0,0,93.75,38.6243386243386,1,0,0,0,"Metro","Epic",1,1.4890608
"6140270",2025,1,1,1,1,1,1,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.4,0.466666666666667,0.5,0.285714285714286,0.428571428571429,0.404761904761905,0,0,0,0,83.3333333333333,29.047619047619,1,0,0,0,"Metro","Epic",NA,1.880547
"6140310",2025,1,1,1,1,1,1,1,1,1,1,1,0.5,1,0.5,1,0.5,0.8125,0.333333333333333,0.5,0.5,0.444444444444444,1,0.714285714285714,0.428571428571429,0.714285714285714,0,0,0,0,93.75,38.6243386243386,0,1,0,0,"Metro","Epic",1,1.6728343
"6140428",2025,1,1,1,0.5,0.875,1,1,1,1,0.5,1,0.5,1,0.5,1,0.5,0.75,0.166666666666667,0.5,0,0.222222222222222,1,1,0.714285714285714,0.904761904761905,0,0,0,0,87.5,37.5661375661376,0,1,0,0,"Metro","Epic",1,1.6728343
"6140465",2025,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.666666666666667,0.5,0.3,0.488888888888889,0.666666666666667,0.285714285714286,0.428571428571429,0.46031746031746,0,0,1,0.333333333333333,100,42.7513227513227,0,1,0,0,"Metro","Epic",1,1.4580649
"6140630",2025,1,1,1,0,0.75,0.5,0.5,0.5,1,0.5,1,0.5,0,0,0.5,0,0.4375,0.333333333333333,0.5,0.4,0.411111111111111,0.5,0.857142857142857,0.857142857142857,0.738095238095238,0,0,0,0,56.25,38.3068783068783,0,1,0,0,"Metro","Meditech",NA,1.8834013
"6140850",2025,1,1,1,0,0.75,1,1,1,1,0,1,0,0,0,0,0,0.25,0.833333333333333,0.333333333333333,0.8,0.655555555555556,0.833333333333333,0.857142857142857,0.714285714285714,0.801587301587302,0,0,0,0,66.6666666666667,48.5714285714286,0,1,0,0,"Metro","Meditech",NA,2.4097648
"6140900",2025,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0.5,0,0.5625,0.666666666666667,0.333333333333333,0.2,0.4,0.5,0.571428571428571,0.428571428571429,0.5,0,0,0,0,85.4166666666667,30,0,1,0,0,"Metro","Epic",1,1.9058088
"6140923",2025,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.333333333333333,0.333333333333333,0,0.222222222222222,0.5,0.857142857142857,0.571428571428571,0.642857142857143,0,0,0,0,100,28.8359788359788,0,0,1,0,"Metro","Epic",1,2.01407
"6140980",2025,0.5,1,0.5,0,0.5,0.5,0,0.25,0.5,0,1,0,0,0,0,0,0.1875,0.5,0.833333333333333,0.4,0.577777777777778,0,0.714285714285714,0.142857142857143,0.285714285714286,0,0,0,0,31.25,28.7830687830688,0,1,0,0,"Metro","Meditech",1,1.6728343
"6141010",2025,0.5,1,0.5,1,0.75,1,1,1,1,0,1,0,1,0,1,0,0.5,0.833333333333333,0.666666666666667,0.7,0.733333333333333,0,0.428571428571429,0.142857142857143,0.19047619047619,0,0,0,0,75,30.7936507936508,0,0,1,1,"Metro","Meditech",1,1.8714032
